accessionnr	uit
AAP71994	Avian
AAP71995	Avian
AAP71996	Avian
AAP71997	Avian
AAP71998	Avian
AAP71999	Avian
AAP72000	Unknown
AAP72001	Unknown
AAP72002	Avian
AAP72003	Unknown
AAP72004	Avian
AAP72005	Avian
AAP72006	Avian
AAP72007	Avian
AAP72008	Avian
AAP72009	Avian
AAP72010	Avian
AAP72011	Avian
AAP79943	Human
AAP79947	Human
AAP79953	Human
AAP79961	Human
AAP79964	Human
AAP79966	Human
AAP79971	Human
AAP79973	Human
AAP79975	Human
AAP79977	Human
AAP97867	Avian
AAQ04843	Avian
AAQ04844	Avian
AAQ04845	Avian
AAQ04846	Avian
AAQ04847	Avian
AAQ04848	Avian
AAQ04849	Avian
AAQ04850	Avian
AAQ04851	Avian
AAQ04852	Avian
AAQ04853	Avian
AAQ04854	Avian
AAQ04855	Avian
AAQ04856	Avian
AAQ04857	Avian
AAQ04858	Avian
AAQ04859	Avian
AAQ04860	Avian
AAQ04861	Avian
AAQ04862	Avian
AAQ04863	Avian
AAQ10355	Human
AAQ10356	Human
AAQ10357	Human
AAQ10358	Human
AAQ10359	Human
AAQ10360	Human
AAQ10361	Human
AAQ10362	Human
AAQ10363	Human
AAQ10364	Human
AAQ10365	Human
AAQ10366	Human
AAQ10367	Human
AAQ10368	Human
AAQ10369	Human
AAQ10370	Human
AAQ10371	Human
AAQ10372	Human
AAQ10373	Human
AAQ10374	Human
AAQ10375	Human
AAQ10376	Human
AAQ10377	Human
AAQ10378	Human
AAQ10379	Human
AAQ10380	Human
AAQ10381	Human
AAQ10382	Human
AAQ10383	Human
AAQ10384	Human
AAQ10385	Human
AAQ10386	Human
AAQ10387	Human
AAQ10388	Human
AAQ10389	Human
AAQ10390	Human
AAQ10391	Human
AAQ10392	Human
AAQ10393	Human
AAQ10394	Human
AAQ10395	Human
AAQ10396	Human
AAQ10397	Human
AAQ10398	Human
AAQ10399	Human
AAQ10400	Human
AAQ10401	Human
AAQ10402	Human
AAQ18434	Equine
AAQ18435	Equine
AAQ63104	Avian
AAQ63105	Avian
AAQ63106	Avian
AAQ63107	Avian
AAQ63108	Avian
AAQ63109	Avian
AAQ63110	Avian
AAQ63111	Avian
AAQ63112	Avian
AAQ63113	Avian
AAQ63114	Avian
AAQ63115	Avian
AAQ63116	Avian
AAQ63117	Avian
AAQ63118	Avian
AAQ63119	Avian
AAQ67246	Avian
AAQ77402	Avian
AAQ77403	Avian
AAQ77404	Avian
AAQ77405	Avian
AAQ77406	Avian
AAQ77407	Avian
AAQ85081	Human
AAQ85082	Human
AAQ85083	Human
AAQ85084	Human
AAQ85085	Human
AAQ85086	Human
AAQ85087	Human
AAQ85088	Human
AAQ85089	Human
AAQ85090	Human
AAQ85091	Human
AAQ86988	Human
AAQ90291	Equine
AAQ90292	Equine
AAQ92920	Human
AAQ92921	Human
AAQ92922	Human
AAQ92923	Human
AAQ92924	Human
AAQ92925	Human
AAQ92926	Human
AAQ92927	Human
AAQ92928	Human
AAQ92929	Human
AAQ92930	Human
AAQ92931	Human
AAQ97375	Avian
AAQ97376	Avian
AAQ97377	Avian
AAQ97378	Avian
AAQ97379	Avian
AAR02636	Human
AAR02637	Human
AAR02638	Human
AAR02639	Avian
AAR02640	Human
AAR02641	Avian
AAR02642	Human
AAR02643	Human
AAR08917	Avian
AAR08918	Avian
AAR12332	Swine
AAR12333	Swine
AAR12334	Swine
AAR12335	Swine
AAR12336	Swine
AAR12337	Swine
AAR12338	Swine
AAR12339	Swine
AAR12340	Swine
AAR12341	Swine
AAR12342	Swine
AAR12343	Swine
AAR12344	Swine
AAR12345	Swine
AAR12346	Swine
AAR12347	Swine
AAR12348	Swine
AAR12349	Swine
AAR25201	Human
AAR33033	Human
AAR88808	Avian
AAR88809	Avian
AAR88810	Avian
AAR88811	Avian
AAR88812	Avian
AAR88813	Avian
AAR88814	Avian
AAR88815	Avian
AAR88816	Avian
AAR88817	Avian
AAR88818	Avian
AAR88819	Avian
AAR88820	Avian
AAR88821	Avian
AAR88822	Avian
AAR88823	Avian
AAR88824	Avian
AAR88825	Avian
AAR88826	Avian
AAR88827	Avian
AAR88828	Avian
AAR88829	Avian
AAR88830	Avian
AAR88831	Avian
AAR88832	Avian
AAR88833	Avian
AAR88834	Avian
AAR88835	Avian
AAR88836	Avian
AAR88837	Avian
AAR88838	Avian
AAR88839	Avian
AAR88840	Avian
AAR88841	Avian
AAR90879	Swine
AAR90881	Swine
